id,name,tot_pop,no_hc,with_hc,public_hc,private_hc,perc_no_hc,perc_hc
25001,"Barnstable County, Massachusetts",212495,10289,202206,91811,158302,0.048419963,0.951580037
25003,"Berkshire County, Massachusetts",127806,4241,123565,55121,90945,0.033183106,0.966816894
25005,"Bristol County, Massachusetts",544121,22147,521974,206595,385675,0.040702344,0.959297656
25007,"Dukes County, Massachusetts",16823,1307,15516,5731,11974,0.077691256,0.922308744
25009,"Essex County, Massachusetts",749939,31502,718437,267349,543522,0.042006083,0.957993917
25011,"Franklin County, Massachusetts",70563,2487,68076,27740,52095,0.0352451,0.9647549
25013,"Hampden County, Massachusetts",460777,20101,440676,209007,292080,0.043624139,0.956375861
25015,"Hampshire County, Massachusetts",158931,5176,153755,44006,128818,0.032567592,0.967432408
25017,"Middlesex County, Massachusetts",1524244,52317,1471927,406998,1236431,0.034323245,0.965676755
25019,"Nantucket County, Massachusetts",10375,725,9650,2847,8179,0.069879518,0.930120482
25021,"Norfolk County, Massachusetts",674122,16547,657575,177525,564306,0.024546002,0.975453998
25023,"Plymouth County, Massachusetts",492906,17833,475073,158884,381476,0.036179312,0.963820688
25025,"Suffolk County, Massachusetts",740590,40492,700098,275375,481387,0.054675326,0.945324674
25027,"Worcester County, Massachusetts",794939,27756,767183,261618,600346,0.034915887,0.965084113
