TAZ,id,Saudi_Male,Saudi_Fema,Total_Saud,Non_Saudi,Non_Saud_1,Total_Non_,Total_Pop,Area,sergios_data_TAZ_1,sergios_data_Saudi_Male,sergios_data_Saudi_Fema,sergios_data_Total_Saud,sergios_data_Non_Saudi,sergios_data_Non_Saud_1,sergios_data_Total_Non_,sergios_data_Total_Pop,sergios_data_Area,sergios_data_Perc,sergios_data_TAZ_12,sergios_data_Saudi_Ma_1,sergios_data_Saudi_Fe_1,sergios_data_Total_Sa_1,sergios_data_Non_Saudi_,sergios_data_Non_Saudi1,sergios_data_Total_Non1,sergios_data_Total_Po_1,sergios_data_Perc_Cont,sergios_data_Perc_Cat
700,700,69,69,138,29,25,54,192,,700,69,69,138,29,25,54,192,0,0.28,700,69,69,138,29,25,54,192,0.28125,2
631,631,8,8,16,10,7,17,33,,631,8,8,16,10,7,17,33,0,0.52,631,8,8,16,10,7,17,33,0.515152,3
4,4,1696,1160,2856,2427,106,2533,5389,,4,1696,1160,2856,2427,106,2533,5389,0,0.47,4,1696,1160,2856,2427,106,2533,5389,0.470032,3
634,634,1762,1379,3141,1377,1127,2504,5645,,634,1762,1379,3141,1377,1127,2504,5645,0,0.44,634,1762,1379,3141,1377,1127,2504,5645,0.443578,3
7,7,33,29,62,77,43,120,182,,7,33,29,62,77,43,120,182,0,0.66,7,33,29,62,77,43,120,182,0.659341,4
569,569,4913,4221,9134,2703,1622,4325,13459,,569,4913,4221,9134,2703,1622,4325,13459,0,0.32,569,4913,4221,9134,2703,1622,4325,13459,0.321346,2
620,620,4009,2587,6596,1597,1487,3084,9680,,620,4009,2587,6596,1597,1487,3084,9680,0,0.32,620,4009,2587,6596,1597,1487,3084,9680,0.318595,2
14,14,3507,3369,6876,4289,5217,9506,16382,,14,3507,3369,6876,4289,5217,9506,16382,0,0.58,14,3507,3369,6876,4289,5217,9506,16382,0.580271,3
16,16,438,283,721,371,345,716,1437,,16,438,283,721,371,345,716,1437,0,0.5,16,438,283,721,371,345,716,1437,0.49826,3
629,629,1344,1232,2576,981,862,1843,4419,,629,1344,1232,2576,981,862,1843,4419,0,0.42,629,1344,1232,2576,981,862,1843,4419,0.417063,3
657,657,567,520,1087,177,155,332,1419,,657,567,520,1087,177,155,332,1419,0,0.23,657,567,520,1087,177,155,332,1419,0.233968,2
666,666,648,594,1242,69,61,130,1372,,666,648,594,1242,69,61,130,1372,0,0.09,666,648,594,1242,69,61,130,1372,0.094752,1
20,20,354,325,679,82,72,154,833,,20,354,325,679,82,72,154,833,0,0.18,20,354,325,679,82,72,154,833,0.184874,1
21,21,177,147,324,214,193,407,731,,21,177,147,324,214,193,407,731,0,0.56,21,177,147,324,214,193,407,731,0.556772,3
23,23,35,32,67,19,24,43,110,,23,35,32,67,19,24,43,110,0,0.39,23,35,32,67,19,24,43,110,0.390909,2
25,25,242,216,458,134,171,305,763,,25,242,216,458,134,171,305,763,0,0.4,25,242,216,458,134,171,305,763,0.399738,2
27,27,10205,7227,17432,12635,8076,20711,38143,,27,10205,7227,17432,12635,8076,20711,38143,0,0.54,27,10205,7227,17432,12635,8076,20711,38143,0.542983,3
31,31,511,542,1053,827,560,1387,2440,,31,511,542,1053,827,560,1387,2440,0,0.57,31,511,542,1053,827,560,1387,2440,0.568443,3
826,826,963,865,1828,1517,1357,2874,4702,,826,963,865,1828,1517,1357,2874,4702,0,0.61,826,963,865,1828,1517,1357,2874,4702,0.611229,4
837,837,703,632,1335,811,725,1536,2871,,837,703,632,1335,811,725,1536,2871,0,0.54,837,703,632,1335,811,725,1536,2871,0.535005,3
34,34,371,393,764,204,138,342,1106,,34,371,393,764,204,138,342,1106,0,0.31,34,371,393,764,204,138,342,1106,0.309222,2
35,35,356,320,676,241,215,456,1132,,35,356,320,676,241,215,456,1132,0,0.4,35,356,320,676,241,215,456,1132,0.402827,2
36,36,913,967,1880,851,575,1426,3306,,36,913,967,1880,851,575,1426,3306,0,0.43,36,913,967,1880,851,575,1426,3306,0.431337,3
37,37,558,502,1060,404,361,765,1825,,37,558,502,1060,404,361,765,1825,0,0.42,37,558,502,1060,404,361,765,1825,0.419178,3
38,38,1180,1250,2430,1137,769,1906,4336,,38,1180,1250,2430,1137,769,1906,4336,0,0.44,38,1180,1250,2430,1137,769,1906,4336,0.439576,3
39,39,2,7,9,60,31,91,100,,39,2,7,9,60,31,91,100,0,0.91,39,2,7,9,60,31,91,100,0.91,5
40,40,5,15,20,184,96,280,300,,40,5,15,20,184,96,280,300,0,0.93,40,5,15,20,184,96,280,300,0.933333,5
41,41,3,8,11,81,42,123,134,,41,3,8,11,81,42,123,134,0,0.92,41,3,8,11,81,42,123,134,0.91791,5
1024,1024,368,308,676,211,141,352,1028,,1024,368,308,676,211,141,352,1028,0,0.34,1024,368,308,676,211,141,352,1028,0.342412,2
43,43,374,313,687,1445,963,2408,3095,,43,374,313,687,1445,963,2408,3095,0,0.78,43,374,313,687,1445,963,2408,3095,0.778029,4
46,46,1111,1239,2350,3538,2727,6265,8615,,46,1111,1239,2350,3538,2727,6265,8615,0,0.73,46,1111,1239,2350,3538,2727,6265,8615,0.72722,4
47,47,1585,1282,2867,991,1165,2156,5023,,47,1585,1282,2867,991,1165,2156,5023,0,0.43,47,1585,1282,2867,991,1165,2156,5023,0.429226,3
603,603,1565,924,2489,924,604,1528,4017,,603,1565,924,2489,924,604,1528,4017,0,0.38,603,1565,924,2489,924,604,1528,4017,0.380383,2
57,57,2616,0,2616,0,0,0,2616,,57,2616,0,2616,0,0,0,2616,0,0,57,2616,0,2616,0,0,0,2616,0,1
677,677,1026,798,1824,683,477,1160,2984,,677,1026,798,1824,683,477,1160,2984,0,0.39,677,1026,798,1824,683,477,1160,2984,0.38874,2
709,709,1333,1038,2371,1014,708,1722,4093,,709,1333,1038,2371,1014,708,1722,4093,0,0.42,709,1333,1038,2371,1014,708,1722,4093,0.420718,3
702,702,0,0,0,0,0,0,0,,702,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,0,0,0,1
61,61,121,95,216,134,94,228,444,,61,121,95,216,134,94,228,444,0,0.51,61,121,95,216,134,94,228,444,0.513514,3
703,703,876,682,1558,584,408,992,2550,,703,876,682,1558,584,408,992,2550,0,0.39,703,876,682,1558,584,408,992,2550,0.38902,2
706,706,1064,829,1893,636,444,1080,2973,,706,1064,829,1893,636,444,1080,2973,0,0.36,706,1064,829,1893,636,444,1080,2973,0.363269,2
64,64,4992,4024,9016,3420,3330,6750,15766,,64,4992,4024,9016,3420,3330,6750,15766,0,0.43,64,4992,4024,9016,3420,3330,6750,15766,0.428136,3
716,716,1251,1008,2259,566,550,1116,3375,,716,1251,1008,2259,566,550,1116,3375,0,0.33,716,1251,1008,2259,566,550,1116,3375,0.330667,2
736,736,778,755,1533,1106,582,1688,3221,,736,778,755,1533,1106,582,1688,3221,0,0.52,736,778,755,1533,1106,582,1688,3221,0.524061,3
739,739,1280,1241,2521,1358,714,2072,4593,,739,1280,1241,2521,1358,714,2072,4593,0,0.45,739,1280,1241,2521,1358,714,2072,4593,0.451121,3
674,674,0,0,0,0,0,0,0,,674,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,1
69,69,581,564,1145,598,314,912,2057,,69,581,564,1145,598,314,912,2057,0,0.44,69,581,564,1145,598,314,912,2057,0.443364,3
70,70,2,2,4,11,6,17,21,,70,2,2,4,11,6,17,21,0,0.81,70,2,2,4,11,6,17,21,0.809524,4
745,745,862,836,1698,1402,737,2139,3837,,745,862,836,1698,1402,737,2139,3837,0,0.56,745,862,836,1698,1402,737,2139,3837,0.557467,3
748,748,815,645,1460,207,251,458,1918,,748,815,645,1460,207,251,458,1918,0,0.24,748,815,645,1460,207,251,458,1918,0.23879,2
793,793,710,522,1232,421,430,851,2083,,793,710,522,1232,421,430,851,2083,0,0.41,793,710,522,1232,421,430,851,2083,0.408545,2
74,74,323,237,560,221,226,447,1007,,74,323,237,560,221,226,447,1007,0,0.44,74,323,237,560,221,226,447,1007,0.443893,3
789,789,0,0,0,0,0,0,0,,789,0,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,1
76,76,860,631,1491,1276,1300,2576,4067,,76,860,631,1491,1276,1300,2576,4067,0,0.63,76,860,631,1491,1276,1300,2576,4067,0.633391,4
77,77,381,279,660,365,371,736,1396,,77,381,279,660,365,371,736,1396,0,0.53,77,381,279,660,365,371,736,1396,0.527221,3
802,802,510,375,885,550,561,1111,1996,,802,510,375,885,550,561,1111,1996,0,0.56,802,510,375,885,550,561,1111,1996,0.556613,3
805,805,0,0,0,0,0,0,0,,805,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,1
80,80,3422,3055,6477,1915,3531,5446,11923,,80,3422,3055,6477,1915,3531,5446,11923,0,0.46,80,3422,3055,6477,1915,3531,5446,11923,0.456764,3
720,720,3412,3102,6514,763,1525,2288,8802,,720,3412,3102,6514,763,1525,2288,8802,0,0.26,720,3412,3102,6514,763,1525,2288,8802,0.259941,2
755,755,3335,2502,5837,1408,1716,3124,8961,,755,3335,2502,5837,1408,1716,3124,8961,0,0.35,755,3335,2502,5837,1408,1716,3124,8961,0.348622,2
82,82,3522,3117,6639,2514,1824,4338,10977,,82,3522,3117,6639,2514,1824,4338,10977,0,0.4,82,3522,3117,6639,2514,1824,4338,10977,0.39519,2
86,86,148,141,289,555,476,1031,1320,,86,148,141,289,555,476,1031,1320,0,0.78,86,148,141,289,555,476,1031,1320,0.781061,4
831,831,604,577,1181,1284,1102,2386,3567,,831,604,577,1181,1284,1102,2386,3567,0,0.67,831,604,577,1181,1284,1102,2386,3567,0.668909,4
845,845,601,575,1176,799,686,1485,2661,,845,601,575,1176,799,686,1485,2661,0,0.56,845,601,575,1176,799,686,1485,2661,0.558061,3
848,848,499,400,899,1206,885,2091,2990,,848,499,400,899,1206,885,2091,2990,0,0.7,848,499,400,899,1206,885,2091,2990,0.699331,4
90,90,467,374,841,947,696,1643,2484,,90,467,374,841,947,696,1643,2484,0,0.66,90,467,374,841,947,696,1643,2484,0.661433,4
853,853,48,38,86,77,56,133,219,,853,48,38,86,77,56,133,219,0,0.61,853,48,38,86,77,56,133,219,0.607306,3
92,92,310,248,558,345,253,598,1156,,92,310,248,558,345,253,598,1156,0,0.52,92,310,248,558,345,253,598,1156,0.517301,3
93,93,672,539,1211,1003,736,1739,2950,,93,672,539,1211,1003,736,1739,2950,0,0.59,93,672,539,1211,1003,736,1739,2950,0.589492,3
835,835,583,468,1051,1675,1230,2905,3956,,835,583,468,1051,1675,1230,2905,3956,0,0.73,835,583,468,1051,1675,1230,2905,3956,0.734328,4
95,95,526,421,947,1024,751,1775,2722,,95,526,421,947,1024,751,1775,2722,0,0.65,95,526,421,947,1024,751,1775,2722,0.652094,4
96,96,450,360,810,891,654,1545,2355,,96,450,360,810,891,654,1545,2355,0,0.66,96,450,360,810,891,654,1545,2355,0.656051,4
97,97,7,5,12,25,18,43,55,,97,7,5,12,25,18,43,55,0,0.78,97,7,5,12,25,18,43,55,0.781818,4
843,843,175,168,343,653,560,1213,1556,,843,175,168,343,653,560,1213,1556,0,0.78,843,175,168,343,653,560,1213,1556,0.779563,4
844,844,224,214,438,856,734,1590,2028,,844,224,214,438,856,734,1590,2028,0,0.78,844,224,214,438,856,734,1590,2028,0.784024,4
100,100,314,301,615,1179,1012,2191,2806,,100,314,301,615,1179,1012,2191,2806,0,0.78,100,314,301,615,1179,1012,2191,2806,0.780827,4
858,858,604,577,1181,695,597,1292,2473,,858,604,577,1181,695,597,1292,2473,0,0.52,858,604,577,1181,695,597,1292,2473,0.522442,3
102,102,1011,966,1977,2297,1971,4268,6245,,102,1011,966,1977,2297,1971,4268,6245,0,0.68,102,1011,966,1977,2297,1971,4268,6245,0.683427,4
861,861,432,346,778,661,485,1146,1924,,861,432,346,778,661,485,1146,1924,0,0.6,861,432,346,778,661,485,1146,1924,0.595634,3
105,105,202,162,364,317,232,549,913,,105,202,162,364,317,232,549,913,0,0.6,105,202,162,364,317,232,549,913,0.601314,3
880,880,800,642,1442,2105,1545,3650,5092,,880,800,642,1442,2105,1545,3650,5092,0,0.72,880,800,642,1442,2105,1545,3650,5092,0.716811,4
867,867,235,189,424,465,341,806,1230,,867,235,189,424,465,341,806,1230,0,0.66,867,235,189,424,465,341,806,1230,0.655285,4
1034,1034,0,0,0,0,0,0,0,,1034,0,0,0,0,0,0,0,0,0,1034,0,0,0,0,0,0,0,0,1
1037,1037,0,1,1,2,2,4,5,,1037,0,1,1,2,2,4,5,0,0.8,1037,0,1,1,2,2,4,5,0.8,4
883,883,229,184,413,660,484,1144,1557,,883,229,184,413,660,484,1144,1557,0,0.73,883,229,184,413,660,484,1144,1557,0.734746,4
112,112,1563,1253,2816,5533,4061,9594,12410,,112,1563,1253,2816,5533,4061,9594,12410,0,0.77,112,1563,1253,2816,5533,4061,9594,12410,0.773086,4
113,113,8,7,15,34,25,59,74,,113,8,7,15,34,25,59,74,0,0.8,113,8,7,15,34,25,59,74,0.797297,4
813,813,121,117,238,180,160,340,578,,813,121,117,238,180,160,340,578,0,0.59,813,121,117,238,180,160,340,578,0.588235,3
609,609,694,589,1283,116,102,218,1501,,609,694,589,1283,116,102,218,1501,0,0.15,609,694,589,1283,116,102,218,1501,0.145237,1
119,119,1646,1397,3043,238,208,446,3489,,119,1646,1397,3043,238,208,446,3489,0,0.13,119,1646,1397,3043,238,208,446,3489,0.12783,1
606,606,360,306,666,187,163,350,1016,,606,360,306,666,187,163,350,1016,0,0.34,606,360,306,666,187,163,350,1016,0.344488,2
121,121,7506,6368,13874,3573,3127,6700,20574,,121,7506,6368,13874,3573,3127,6700,20574,0,0.33,121,7506,6368,13874,3573,3127,6700,20574,0.325654,2
726,726,2619,2254,4873,1673,1282,2955,7828,,726,2619,2254,4873,1673,1282,2955,7828,0,0.38,726,2619,2254,4873,1673,1282,2955,7828,0.377491,2
760,760,1575,1396,2971,68,72,140,3111,,760,1575,1396,2971,68,72,140,3111,0,0.05,760,1575,1396,2971,68,72,140,3111,0.045002,1
127,127,2110,799,2909,0,293,293,3202,,127,2110,799,2909,0,293,293,3202,0,0.09,127,2110,799,2909,0,293,293,3202,0.091505,1
888,888,2631,2126,4757,1699,1412,3111,7868,,888,2631,2126,4757,1699,1412,3111,7868,0,0.4,888,2631,2126,4757,1699,1412,3111,7868,0.395399,2
763,763,2889,2562,5451,716,758,1474,6925,,763,2889,2562,5451,716,758,1474,6925,0,0.21,763,2889,2562,5451,716,758,1474,6925,0.212852,2
893,893,4085,3288,7373,737,1142,1879,9252,,893,4085,3288,7373,737,1142,1879,9252,0,0.2,893,4085,3288,7373,737,1142,1879,9252,0.203091,1
135,135,4293,3761,8054,3024,3111,6135,14189,,135,4293,3761,8054,3024,3111,6135,14189,0,0.43,135,4293,3761,8054,3024,3111,6135,14189,0.432377,3
136,136,5578,4886,10464,4526,4655,9181,19645,,136,5578,4886,10464,4526,4655,9181,19645,0,0.47,136,5578,4886,10464,4526,4655,9181,19645,0.467345,3
137,137,13057,11439,24496,7153,7357,14510,39006,,137,13057,11439,24496,7153,7357,14510,39006,0,0.37,137,13057,11439,24496,7153,7357,14510,39006,0.371994,2
138,138,5604,4910,10514,4284,4406,8690,19204,,138,5604,4910,10514,4284,4406,8690,19204,0,0.45,138,5604,4910,10514,4284,4406,8690,19204,0.45251,3
139,139,5483,5364,10847,855,1612,2467,13314,,139,5483,5364,10847,855,1612,2467,13314,0,0.19,139,5483,5364,10847,855,1612,2467,13314,0.185294,1
140,140,3958,3872,7830,948,1787,2735,10565,,140,3958,3872,7830,948,1787,2735,10565,0,0.26,140,3958,3872,7830,948,1787,2735,10565,0.258874,2
141,141,6459,6178,12637,2351,2075,4426,17063,,141,6459,6178,12637,2351,2075,4426,17063,0,0.26,141,6459,6178,12637,2351,2075,4426,17063,0.259392,2
901,901,3340,3194,6534,1604,1416,3020,9554,,901,3340,3194,6534,1604,1416,3020,9554,0,0.32,901,3340,3194,6534,1604,1416,3020,9554,0.316098,2
144,144,5860,5566,11426,2356,2074,4430,15856,,144,5860,5566,11426,2356,2074,4430,15856,0,0.28,144,5860,5566,11426,2356,2074,4430,15856,0.27939,2
145,145,2213,2101,4314,1043,918,1961,6275,,145,2213,2101,4314,1043,918,1961,6275,0,0.31,145,2213,2101,4314,1043,918,1961,6275,0.31251,2
908,908,4571,4342,8913,1863,1641,3504,12417,,908,4571,4342,8913,1863,1641,3504,12417,0,0.28,908,4571,4342,8913,1863,1641,3504,12417,0.282194,2
147,147,4681,4445,9126,1775,1563,3338,12464,,147,4681,4445,9126,1775,1563,3338,12464,0,0.27,147,4681,4445,9126,1775,1563,3338,12464,0.267811,2
148,148,0,0,0,1327,0,1327,1327,,148,0,0,0,1327,0,1327,1327,0,1,148,0,0,0,1327,0,1327,1327,1,5
152,152,12569,12229,24798,124,249,373,25171,,152,12569,12229,24798,124,249,373,25171,0,0.01,152,12569,12229,24798,124,249,373,25171,0.014819,1
153,153,1116,1003,2119,395,226,621,2740,,153,1116,1003,2119,395,226,621,2740,0,0.23,153,1116,1003,2119,395,226,621,2740,0.226642,2
1369,1369,3531,3174,6705,437,250,687,7392,,1369,3531,3174,6705,437,250,687,7392,0,0.09,1369,3531,3174,6705,437,250,687,7392,0.092938,1
155,155,8604,7737,16341,883,506,1389,17730,,155,8604,7737,16341,883,506,1389,17730,0,0.08,155,8604,7737,16341,883,506,1389,17730,0.078342,1
156,156,15845,15148,30993,868,1015,1883,32876,,156,15845,15148,30993,868,1015,1883,32876,0,0.06,156,15845,15148,30993,868,1015,1883,32876,0.057276,1
157,157,11712,11196,22908,2957,3461,6418,29326,,157,11712,11196,22908,2957,3461,6418,29326,0,0.22,157,11712,11196,22908,2957,3461,6418,29326,0.21885,2
1373,1373,1394,1343,2737,116,75,191,2928,,1373,1394,1343,2737,116,75,191,2928,0,0.07,1373,1394,1343,2737,116,75,191,2928,0.065232,1
1074,1074,4242,4395,8637,912,912,1824,10461,,1074,4242,4395,8637,912,912,1824,10461,0,0.17,1074,4242,4395,8637,912,912,1824,10461,0.174362,1
160,160,6432,8072,14504,7221,2280,9501,24005,,160,6432,8072,14504,7221,2280,9501,24005,0,0.4,160,6432,8072,14504,7221,2280,9501,24005,0.395793,2
1078,1078,680,705,1385,223,223,446,1831,,1078,680,705,1385,223,223,446,1831,0,0.24,1078,680,705,1385,223,223,446,1831,0.243583,2
162,162,2079,1907,3986,776,716,1492,5478,,162,2079,1907,3986,776,716,1492,5478,0,0.27,162,2079,1907,3986,776,716,1492,5478,0.272362,2
163,163,16145,15807,31952,10778,3003,13781,45733,,163,16145,15807,31952,10778,3003,13781,45733,0,0.3,163,16145,15807,31952,10778,3003,13781,45733,0.301336,2
164,164,3141,2879,6020,843,778,1621,7641,,164,3141,2879,6020,843,778,1621,7641,0,0.21,164,3141,2879,6020,843,778,1621,7641,0.212145,2
165,165,9908,8471,18379,1558,1909,3467,21846,,165,9908,8471,18379,1558,1909,3467,21846,0,0.16,165,9908,8471,18379,1558,1909,3467,21846,0.158702,1
166,166,5908,5051,10959,1075,1317,2392,13351,,166,5908,5051,10959,1075,1317,2392,13351,0,0.18,166,5908,5051,10959,1075,1317,2392,13351,0.179163,1
1411,1411,17802,15464,33266,4000,6612,10612,43878,,1411,17802,15464,33266,4000,6612,10612,43878,0,0.24,1411,17802,15464,33266,4000,6612,10612,43878,0.241852,2
168,168,2586,2212,4798,864,1058,1922,6720,,168,2586,2212,4798,864,1058,1922,6720,0,0.29,168,2586,2212,4798,864,1058,1922,6720,0.286012,2
