TAZ,Perc_Cont
1,0
2,0.266268
3,0.292916
4,0.470032
5,0.319783
6,0.380869
7,0.659341
8,0.125157
9,0.194685
10,0.357046
11,0
12,0.213477
13,0.483096
14,0.580271
15,0.177608
16,0.49826
17,0.379254
18,0.388889
19,0.266452
20,0.184874
21,0.556772
22,0.48487
23,0.390909
24,0.495373
25,0.399738
26,0
27,0.542983
28,0.392375
29,0.771753
30,0.724457
31,0.568443
32,0.376833
33,0.385275
34,0.309222
35,0.402827
36,0.431337
37,0.419178
38,0.439576
39,0.91
40,0.933333
41,0.91791
42,0.608554
43,0.778029
44,0.057194
45,0.134489
46,0.72722
47,0.429226
48,0.497512
49,0.367538
50,0.016835
51,0.014925
52,0.018886
53,0.250434
54,0.384047
55,0.381852
56,0.414074
57,0
58,0.412985
59,0.513566
60,0.6
61,0.513514
62,0.392507
63,0.37576
64,0.428136
65,0.388027
66,0.561203
67,0.434507
68,0
69,0.443364
70,0.809524
71,0.44213
72,0.536055
73,0.472263
74,0.443893
75,0
76,0.633391
77,0.527221
78,0.511566
79,0.512933
80,0.456764
81,0.315514
82,0.39519
83,0.410722
84,0.342252
85,0.341301
86,0.781061
87,0.725174
88,0.606697
89,0.626926
90,0.661433
91,0.749696
92,0.517301
93,0.589492
94,0.703445
95,0.652094
96,0.656051
97,0.781818
98,0.792169
99,0.801619
100,0.780827
101,0.668079
102,0.683427
103,0.613762
104,0.565702
105,0.601314
106,0.686421
107,0.622081
108,0.736976
109,0.674826
110,0.349359
111,0.8
112,0.773086
113,0.797297
114,0.780085
115,0.903226
116,0.924152
117,0.833333
118,0.104491
119,0.12783
120,0.288538
121,0.325654
122,0.388181
123,0.441042
124,0.357912
125,0.120604
126,0.188511
127,0.091505
128,0.245702
129,0.971292
130,0.302857
131,0.497468
132,0.385055
133,0.218494
134,0.223155
135,0.432377
136,0.467345
137,0.371994
138,0.45251
139,0.185294
140,0.258874
141,0.259392
142,0.317147
143,0.338531
144,0.27939
145,0.31251
146,0.294376
147,0.267811
148,1
149,0.177834
150,0.461538
151,0
152,0.014819
153,0.226642
154,0.083054
155,0.078342
